user_id,aov,strat
1,389737.132241,1
2,338938.855906,1
3,401815.083048,1
4,471842.388513,1
5,331267.730022,1
6,331269.043444,1
7,476337.025241,1
8,411394.778332,1
9,312442.049125,1
10,393404.803487,1
11,312926.584575,1
12,312741.619714,1
13,369356.981725,1
14,196937.580427,1
15,212006.573399,1
16,305016.997661,1
17,268973.510373,1
18,375139.786608,1
19,277358.073958,1
20,237015.703893,1
21,467251.901514,1
22,331937.895961,1
23,355402.256375,1
24,236020.145103,1
25,306449.382038,1
26,358873.807177,1
27,257920.513806,1
28,380055.841468,1
29,301948.904806,1
30,326664.500017,1
31,301863.471022,1
32,498182.254761,1
33,348920.222021,1
34,265383.125684,1
35,415803.592968,1
36,252332.508002,1
37,366709.0876,1
38,193226.39009,1
39,243745.116088,1
40,365748.89887,1
41,409077.3264,1
42,363709.462495,1
43,340748.137409,1
44,325911.704353,1
45,231718.240771,1
46,292412.463328,1
47,313148.898323,1
48,434569.778098,1
49,377489.463165,1
50,208956.787571,1
51,375926.717552,1
52,319193.417567,1
53,295846.239976,1
54,398934.103107,1
55,432479.9618,1
56,424502.409529,1
57,282862.598142,1
58,325263.009932,1
59,376501.074512,1
60,428043.61017,1
61,311666.060972,1
62,335147.281867,1
63,261493.20208,1
64,254303.470074,1
65,415002.065792,1
66,458499.202286,1
67,344239.190274,1
68,430282.631831,1
69,378930.882004,1
70,298390.419632,1
71,378911.648441,1
72,473042.925317,1
73,347133.916871,1
74,475171.492465,1
75,140420.391673,1
76,415752.20035,1
77,356963.765459,1
78,326079.411963,1
79,357340.862123,1
80,190994.486832,1
81,332426.248973,1
82,378569.005721,1
83,468231.523579,1
84,308538.382538,1
85,285320.511769,1
86,309859.436513,1
87,423232.169416,1
88,376300.088773,1
89,307619.183699,1
90,391061.394649,1
91,357766.203948,1
92,427491.599243,1
93,293835.75249,1
94,323787.028272,1
95,318631.347749,1
96,232918.804149,1
97,373689.622165,1
98,370884.421774,1
99,350409.076531,1
100,331233.02933,1
101,236770.340636,1
102,316348.374179,1
103,322582.838678,1
104,285817.818462,1
105,337097.143067,1
106,382324.068545,1
107,500894.872097,1
108,363966.225027,1
109,370604.031258,1
110,344044.326739,1
111,196498.302776,1
112,347878.889964,1
113,354818.416795,1
114,547059.368999,1
115,334611.122818,1
116,374123.787387,1
117,347223.058424,1
118,256505.75699,1
119,441425.825161,1
120,410154.642615,1
121,413282.555763,1
122,277249.003616,1
123,462223.544875,1
124,237851.914977,1
125,396948.567504,1
126,525236.450065,1
127,270757.09399,1
128,304696.181632,1
129,357972.109207,1
130,309721.947671,1
131,225946.925515,1
132,355485.037984,1
133,265015.702902,1
134,387887.394451,1
135,276446.061261,1
136,473994.752401,1
137,287339.736613,1
138,324235.078704,1
139,415081.37739,1
140,251530.854685,1
141,368196.794768,1
142,454571.420343,1
143,221401.341235,1
144,364770.708683,1
145,370790.62354,1
146,412545.829742,1
147,251043.94313,1
148,244363.470953,1
149,391755.325249,1
150,373758.773859,1
151,370039.428028,1
152,377715.85676,1
153,295598.022274,1
154,368580.295773,1
155,373445.797864,1
156,292851.886558,1
157,499261.960892,1
158,387906.633673,1
159,254695.720224,1
160,402524.288691,1
161,272025.466382,1
162,412966.768299,1
163,442687.646321,1
164,284345.414532,1
165,427070.09034,1
166,383022.474155,1
167,415764.8128,1
168,501743.438612,1
169,330368.95072,1
170,289701.106851,1
171,278838.84563,1
172,284735.177203,1
173,343831.863247,1
174,377292.157985,1
175,372135.263946,1
176,416174.659923,1
177,351040.15135,1
178,466282.726173,1
179,328827.453341,1
180,567613.533327,1
181,400053.387821,1
182,281427.395487,1
183,264328.600155,1
184,388597.793219,1
185,332122.977174,1
186,407120.039527,1
187,387859.009966,1
188,344173.686987,1
189,282256.502555,1
190,228812.222025,1
191,314278.803835,1
192,418511.903546,1
193,367127.49953,1
194,250340.897703,1
195,363854.474068,1
196,380825.390378,1
197,279291.405104,1
198,362298.008476,1
199,354656.697476,1
200,258562.376174,1
201,378622.988828,1
202,394862.762109,1
203,436644.099454,1
204,434304.164163,1
205,239786.450563,1
206,274973.996807,1
207,391202.821377,1
208,391102.876073,1
209,391203.814904,1
210,658218.519252,1
211,395671.240855,1
212,440845.251214,1
213,426320.141079,1
214,402111.300104,1
215,324778.460429,1
216,410717.537639,1
217,288173.982837,1
218,331054.511461,1
219,311170.916174,1
220,356549.931151,1
221,535172.685334,1
222,200618.784593,1
223,404900.81523,1
224,220982.730305,1
225,312245.450737,1
226,437116.047757,1
227,355142.401528,1
228,263780.417766,1
229,292775.703259,1
230,404367.819915,1
231,291570.669463,1
232,367316.687167,1
233,353645.747192,1
234,297871.972192,1
235,521515.527146,1
236,400713.521785,1
237,187988.593067,1
238,364916.345182,1
239,297057.082819,1
240,418194.666784,1
241,286598.340925,1
242,340821.084683,1
243,390398.982318,1
244,419260.415534,1
245,253976.287436,1
246,323239.901133,1
247,312004.375107,1
248,297733.661394,1
249,491236.339222,1
250,382398.536877,1
251,249129.283653,1
252,423428.955764,1
253,519772.495761,1
254,432597.220844,1
255,228450.402724,1
256,311261.274171,1
257,451352.891935,1
258,293386.44275,1
259,385505.554252,1
260,411970.724274,1
261,275845.562274,1
262,345237.971515,1
263,90698.612794,1
264,268048.988693,1
265,329794.547889,1
266,250177.345443,1
267,480592.904315,1
268,235588.689763,1
269,314796.441064,1
270,360459.246183,1
271,465301.863125,1
272,235131.027906,1
273,443053.100172,1
274,350818.644882,1
275,271479.307916,1
276,386968.277941,1
277,365924.775646,1
278,301982.649827,1
279,355584.166799,1
280,319174.912251,1
281,359081.38762,1
282,402970.453962,1
283,476881.345292,1
284,250974.760094,1
285,520642.669973,1
286,193832.976038,1
287,337857.192397,1
288,397065.376519,1
289,372479.349419,1
290,300184.038414,1
291,333350.219971,1
292,310559.925227,1
293,302850.819444,1
294,417968.167762,1
295,378561.238877,1
296,294567.232379,1
297,421967.990035,1
298,374583.96167,1
299,415028.969507,1
300,400370.307354,1
301,283680.399126,1
302,305185.516784,1
303,409783.48841,1
304,398829.621235,1
305,348327.872483,1
306,359386.190665,1
307,452213.191663,1
308,302674.288893,1
309,393767.790494,1
310,333824.587805,1
311,332585.503742,1
312,437902.148159,1
313,416033.307919,1
314,415080.77088,1
315,454438.304572,1
316,351680.307331,1
317,404556.237704,1
318,325178.659473,1
319,375933.308199,1
320,339588.555651,1
321,357759.677199,1
322,397612.562035,1
323,284542.345341,1
324,517390.982055,1
325,269518.60948,1
326,252864.910977,1
327,442648.86988,1
328,413333.015517,1
329,399929.585364,1
330,400267.640741,1
331,349020.258172,1
332,278219.650281,1
333,356064.364655,1
334,295827.063079,1
335,428009.578673,1
336,338235.40948,1
337,283960.224257,1
338,324289.132668,1
339,383034.516342,1
340,304902.035776,1
341,284222.368355,1
342,369494.976919,1
343,369597.325689,1
344,309444.54597,1
345,312316.935551,1
346,368563.994989,1
347,234153.25268,1
348,237402.89805,1
349,292524.4623,1
350,332924.227863,1
351,374872.605248,1
352,468028.497356,1
353,418612.769856,1
354,337204.917603,1
355,348478.703368,1
356,269797.650829,1
357,348518.949121,1
358,326907.308886,1
359,375817.484827,1
360,283821.524516,1
361,391547.721139,1
362,472619.11304,1
363,341299.188123,1
364,382136.937768,1
365,405211.519337,1
366,317902.362249,1
367,367927.398545,1
368,351007.392063,1
369,357814.087884,1
370,288159.217292,1
371,351960.813941,1
372,389839.8633,1
373,466091.488624,1
374,426741.666087,1
375,522254.596601,1
376,288612.194969,1
377,419785.650938,1
378,364667.360459,1
379,525184.234657,1
380,285336.137172,1
381,282822.252626,1
382,302048.588364,1
383,180088.342055,1
384,307939.598266,1
385,289269.387076,1
386,362031.502918,1
387,377340.478062,1
388,500093.667137,1
389,426033.907055,1
390,303847.707547,1
391,278126.826292,1
392,389353.533721,1
393,244381.343438,1
394,496516.701268,1
395,444355.209658,1
396,312465.947832,1
397,212949.237673,1
398,458309.789933,1
399,340836.81238,1
400,449025.304958,1
401,222445.787296,1
402,302049.998164,1
403,350419.495977,1
404,353758.447501,1
405,313994.762282,1
406,399827.994588,1
407,264590.365649,1
408,338609.641198,1
409,359623.650537,1
410,391155.106725,1
411,406929.190247,1
412,260028.632653,1
413,227270.866341,1
414,452214.145752,1
415,376585.120958,1
416,290121.077075,1
417,474092.158042,1
418,359253.970743,1
419,444343.774725,1
420,355401.478513,1
421,514859.833991,1
422,490427.267395,1
423,330082.868122,1
424,427725.676076,1
425,401630.075967,1
426,459490.524603,1
427,272806.123154,1
428,404884.1168,1
429,434673.958948,1
430,209300.841086,1
431,255339.318987,1
432,186861.425779,1
433,328447.453244,1
434,407403.380464,1
435,470188.564168,1
436,355927.582434,1
437,480289.243646,1
438,239591.883343,1
439,213729.404852,1
440,345556.184088,1
441,380725.235915,1
442,347384.420152,1
443,184604.631997,1
444,342870.396839,1
445,245642.43996,1
446,403573.803906,1
447,379327.859688,1
448,274809.617094,1
449,308890.646613,1
450,265262.918249,1
451,344985.672218,1
452,426411.38564,1
453,271141.916293,1
454,390323.721241,1
455,307579.39053,1
456,286570.173419,1
457,341437.571204,1
458,267180.614206,1
459,305708.055572,1
460,254169.768593,1
461,507178.010633,1
462,352821.084158,1
463,294021.959361,1
464,367118.392859,1
465,341013.756025,1
466,332322.432037,1
467,399133.336003,1
468,410600.616804,1
469,307559.908191,1
470,303934.540748,1
471,327995.864228,1
472,165846.306821,1
473,228784.715024,1
474,459349.941396,1
475,481597.41708,1
476,330077.116835,1
477,396124.557044,1
478,374900.012363,1
479,596310.464676,1
480,439565.992915,1
481,339766.592682,1
482,273556.764752,1
483,221484.294379,1
484,366277.090869,1
485,289491.940377,1
486,236219.703232,1
487,298274.169261,1
488,263476.159711,1
489,484971.330806,1
490,420531.180556,1
491,349362.188695,1
492,468395.531111,1
493,356189.464612,1
494,281097.263894,1
495,471849.926182,1
496,393112.803495,1
497,267020.307654,1
498,334772.905753,1
499,279950.539729,1
500,239376.021523,1
501,424094.203803,1
502,502753.331238,1
503,238114.594094,1
504,395037.538935,1
505,297948.59447,1
506,311029.969299,1
507,302608.486061,1
508,280880.738426,1
509,353881.730236,1
510,283523.990687,1
511,371636.546062,1
512,345980.951244,1
513,330884.156251,1
514,277394.907037,1
515,303858.293555,1
516,410431.298066,1
517,390073.37501,1
518,271795.580416,1
519,357946.584434,1
520,410110.96987,1
521,216447.57751,1
522,393468.81539,1
523,296990.099284,1
524,395647.893487,1
525,288939.267477,1
526,205609.431947,1
527,219796.604969,1
528,353846.795733,1
529,370777.800138,1
530,277654.669992,1
531,401087.396702,1
532,217078.395018,1
533,344713.616108,1
534,253118.704019,1
535,297853.111376,1
536,353791.893705,1
537,281166.930777,1
538,319235.556462,1
539,430503.424737,1
540,303848.650438,1
541,416855.368965,1
542,259623.451627,1
543,392384.334233,1
544,465325.489653,1
545,152268.43999,1
546,286248.379562,1
547,396165.770174,1
548,333756.369117,1
549,379691.66987,1
550,301681.185063,1
551,356927.182998,1
552,337545.821169,1
553,443422.564933,1
554,370353.667464,1
555,377008.212966,1
556,317049.84271,1
557,310991.502074,1
558,315395.344974,1
559,381556.17139,1
560,316321.241534,1
561,373181.988552,1
562,516032.063892,1
563,419689.976275,1
564,323918.117427,1
565,446097.113773,1
566,317353.970158,1
567,186950.037186,1
568,269353.095127,1
569,200336.646318,1
570,321878.921277,1
571,351473.470335,1
572,484114.984982,1
